arrival_time,departure_time,shape_dist_traveled,stop_id,stop_sequence,timepoint,trip_id
07:10:00,07:10:00,,465,1,1,CITIBUS003001
07:10:00,07:10:00,,365,2,1,CITIBUS003001
07:11:00,07:11:00,,364,3,1,CITIBUS003001
07:12:00,07:12:00,,361,4,1,CITIBUS003001
07:14:00,07:14:00,,WID400,5,1,CITIBUS003001
07:15:00,07:15:00,,409,6,1,CITIBUS003001
07:16:00,07:16:00,,411,7,1,CITIBUS003001
07:16:00,07:16:00,,413,8,1,CITIBUS003001
07:19:00,07:19:00,,415,9,1,CITIBUS003001
07:20:00,07:20:00,,418,10,1,CITIBUS003001
07:21:00,07:21:00,,416,11,1,CITIBUS003001
07:24:00,07:24:00,,518,12,1,CITIBUS003001
07:26:00,07:26:00,,WID401,13,1,CITIBUS003001
07:27:00,07:27:00,,385,14,1,CITIBUS003001
07:28:00,07:28:00,,387,15,1,CITIBUS003001
07:29:00,07:29:00,,389,16,1,CITIBUS003001
07:30:00,07:30:00,,391,17,1,CITIBUS003001
07:31:00,07:31:00,,393,18,1,CITIBUS003001
07:31:00,07:31:00,,310,19,1,CITIBUS003001
07:32:00,07:32:00,,262,20,1,CITIBUS003001
07:34:00,07:34:00,,311,21,1,CITIBUS003001
07:35:00,07:35:00,,427,22,1,CITIBUS003001
07:36:00,07:36:00,,428,23,1,CITIBUS003001
07:36:00,07:36:00,,429,24,1,CITIBUS003001
07:37:00,07:37:00,,430,25,1,CITIBUS003001
07:37:00,07:37:00,,WID402,26,1,CITIBUS003001
07:40:00,07:40:00,,262,27,1,CITIBUS003001
07:42:00,07:42:00,,328,28,1,CITIBUS003001
07:42:00,07:42:00,,264,29,1,CITIBUS003001
07:45:00,07:45:00,,265,30,1,CITIBUS003001
07:46:00,07:46:00,,267,31,1,CITIBUS003001
07:48:00,07:48:00,,305,32,1,CITIBUS003001
07:50:00,07:50:00,,465,1,0,CITIBUS003002
,,,365,2,0,CITIBUS003002
,,,364,3,0,CITIBUS003002
,,,361,4,0,CITIBUS003002
,,,WID400,5,0,CITIBUS003002
,,,409,6,0,CITIBUS003002
,,,411,7,0,CITIBUS003002
,,,413,8,0,CITIBUS003002
,,,415,9,0,CITIBUS003002
,,,418,10,0,CITIBUS003002
,,,416,11,0,CITIBUS003002
,,,518,12,0,CITIBUS003002
,,,WID401,13,0,CITIBUS003002
,,,385,14,0,CITIBUS003002
,,,387,15,0,CITIBUS003002
,,,389,16,0,CITIBUS003002
,,,391,17,0,CITIBUS003002
,,,393,18,0,CITIBUS003002
,,,310,19,0,CITIBUS003002
,,,262,20,0,CITIBUS003002
,,,311,21,0,CITIBUS003002
,,,427,22,0,CITIBUS003002
,,,428,23,0,CITIBUS003002
,,,429,24,0,CITIBUS003002
,,,430,25,0,CITIBUS003002
,,,WID402,26,0,CITIBUS003002
,,,262,27,0,CITIBUS003002
,,,328,28,0,CITIBUS003002
,,,264,29,0,CITIBUS003002
,,,265,30,0,CITIBUS003002
,,,267,31,0,CITIBUS003002
08:28:00,08:28:00,,305,32,0,CITIBUS003002
08:28:00,08:28:00,,465,1,0,CITIBUS003003
,,,365,2,0,CITIBUS003003
,,,364,3,0,CITIBUS003003
,,,361,4,0,CITIBUS003003
,,,WID400,5,0,CITIBUS003003
,,,409,6,0,CITIBUS003003
,,,411,7,0,CITIBUS003003
,,,413,8,0,CITIBUS003003
,,,415,9,0,CITIBUS003003
,,,418,10,0,CITIBUS003003
,,,416,11,0,CITIBUS003003
,,,518,12,0,CITIBUS003003
,,,WID401,13,0,CITIBUS003003
,,,385,14,0,CITIBUS003003
,,,387,15,0,CITIBUS003003
,,,389,16,0,CITIBUS003003
,,,391,17,0,CITIBUS003003
,,,393,18,0,CITIBUS003003
,,,310,19,0,CITIBUS003003
,,,262,20,0,CITIBUS003003
,,,311,21,0,CITIBUS003003
,,,427,22,0,CITIBUS003003
,,,428,23,0,CITIBUS003003
,,,429,24,0,CITIBUS003003
,,,430,25,0,CITIBUS003003
,,,WID402,26,0,CITIBUS003003
,,,262,27,0,CITIBUS003003
,,,328,28,0,CITIBUS003003
,,,264,29,0,CITIBUS003003
,,,265,30,0,CITIBUS003003
,,,267,31,0,CITIBUS003003
09:00:00,09:00:00,,305,32,0,CITIBUS003003
